"NOMBRE","DEPARTAMENTO_LOCAL","ESTADO_LICENCIAMIENTO","ESTUDIANTES"
"UNIVERSIDAD MARCELINO CHAMPAGNAT","LIMA","LICENCIA OTORGADA",998
"UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS","LIMA","LICENCIA OTORGADA",75072
"UNIVERSIDAD CATOLICA SEDES SAPIENTIAE","LIMA","LICENCIA OTORGADA",10730
"UNIVERSIDAD AUTONOMA DEL PERU","LIMA","LICENCIA OTORGADA",5862
"UNIVERSIDAD PRIVADA NORBERT WIENER","LIMA","LICENCIA OTORGADA",7025
"UNIVERSIDAD TECNOLOGICA DEL PERU","LIMA","LICENCIA OTORGADA",58962
"UNIVERSIDAD DEL PACIFICO","LIMA","LICENCIA OTORGADA",7825
"UNIVERSIDAD DE SAN MARTIN DE PORRES","LIMA","LICENCIA OTORGADA",35712
"UNIVERSIDAD ESAN","LIMA","LICENCIA OTORGADA",6831
"UNIVERSIDAD NACIONAL JOSE FAUSTINO SANCHEZ CARRION","LIMA","LICENCIA OTORGADA",10839
"UNIVERSIDAD FEMENINA DEL SAGRADO CORAZON","LIMA","LICENCIA OTORGADA",4183
"UNIVERSIDAD MARIA AUXILIADORA","LIMA","LICENCIA OTORGADA",488
"UNIVERSIDAD DE CIENCIAS Y ARTES DE AMERICA LATINA","LIMA","LICENCIA OTORGADA",1659
"UNIVERSIDAD ANTONIO RUIZ DE MONTOYA","LIMA","LICENCIA OTORGADA",2428
"UNIVERSIDAD NACIONAL FEDERICO VILLARREAL","LIMA","LICENCIA OTORGADA",26954
"UNIVERSIDAD DE INGENIERIA Y TECNOLOGIA","LIMA","LICENCIA OTORGADA",2238
"UNIVERSIDAD NACIONAL AGRARIA LA MOLINA","LIMA","LICENCIA OTORGADA",7721
"UNIVERSIDAD NACIONAL DE LA AMAZONIA PERUANA","LORETO","LICENCIA OTORGADA",8437
"UNIVERSIDAD NACIONAL AUTONOMA DE ALTO AMAZONAS","LORETO","LICENCIA OTORGADA",118
"UNIVERSIDAD NACIONAL AMAZONICA DE MADRE DE DIOS","MADRE DE DIOS","LICENCIA OTORGADA",3394
"UNIVERSIDAD NACIONAL DE MOQUEGUA","MOQUEGUA","LICENCIA OTORGADA",1596
"UNIVERSIDAD NACIONAL DE PIURA","PIURA","LICENCIA OTORGADA",12472
"UNIVERSIDAD NACIONAL DE FRONTERA","PIURA","LICENCIA OTORGADA",1260
"UNIVERSIDAD DE PIURA","PIURA","LICENCIA OTORGADA",6831
"UNIVERSIDAD NACIONAL DEL ALTIPLANO","PUNO","LICENCIA OTORGADA",15229
"UNIVERSIDAD NACIONAL DE JULIACA","PUNO","LICENCIA OTORGADA",1666
"UNIVERSIDAD NACIONAL DE SAN MARTIN","SAN MARTIN","LICENCIA OTORGADA",5597
"UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN","TACNA","LICENCIA OTORGADA",7569
"UNIVERSIDAD PRIVADA DE TACNA","TACNA","LICENCIA OTORGADA",5457
"UNIVERSIDAD NACIONAL DE TUMBES","TUMBES","LICENCIA OTORGADA",2379
"UNIVERSIDAD NACIONAL INTERCULTURAL DE LA AMAZONIA","UCAYALI","LICENCIA OTORGADA",785
"UNIVERSIDAD NACIONAL DE UCAYALI","UCAYALI","LICENCIA OTORGADA",1264
