"NOMBRE","NIVEL_ACADEMICO","PROGRAMAS"
"UNIVERSIDAD NACIONAL DE UCAYALI","MAESTRIA",22
"UNIVERSIDAD NACIONAL DE UCAYALI","SEGUNDA ESPECIALIDAD",16
"UNIVERSIDAD NACIONAL DE UCAYALI","DOCTORADO",3
"UNIVERSIDAD NACIONAL DEL ALTIPLANO","MAESTRIA",67
"UNIVERSIDAD NACIONAL DEL ALTIPLANO","CARRERA PROFESIONAL",44
"UNIVERSIDAD NACIONAL DEL ALTIPLANO","SEGUNDA ESPECIALIDAD",40
"UNIVERSIDAD NACIONAL DEL ALTIPLANO","DOCTORADO",13
"UNIVERSIDAD NACIONAL DEL CALLAO","MAESTRIA",33
"UNIVERSIDAD NACIONAL DEL CALLAO","CARRERA PROFESIONAL",17
"UNIVERSIDAD NACIONAL DEL CALLAO","SEGUNDA ESPECIALIDAD",17
"UNIVERSIDAD NACIONAL DEL CALLAO","DOCTORADO",8
"UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU","MAESTRIA",48
"UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU","CARRERA PROFESIONAL",40
"UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU","SEGUNDA ESPECIALIDAD",12
"UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU","DOCTORADO",7
"UNIVERSIDAD NACIONAL DEL SANTA","CARRERA PROFESIONAL",20
"UNIVERSIDAD NACIONAL DEL SANTA","DOCTORADO",20
"UNIVERSIDAD NACIONAL DEL SANTA","MAESTRIA",8
"UNIVERSIDAD NACIONAL DEL SANTA","SEGUNDA ESPECIALIDAD",6
"UNIVERSIDAD NACIONAL HERMILIO VALDIZAN DE HUANUCO","CARRERA PROFESIONAL",29
"UNIVERSIDAD NACIONAL HERMILIO VALDIZAN DE HUANUCO","SEGUNDA ESPECIALIDAD",26
"UNIVERSIDAD NACIONAL HERMILIO VALDIZAN DE HUANUCO","MAESTRIA",22
"UNIVERSIDAD NACIONAL HERMILIO VALDIZAN DE HUANUCO","DOCTORADO",9
"UNIVERSIDAD NACIONAL INTERCULTURAL DE LA AMAZONIA","CARRERA PROFESIONAL",4
"UNIVERSIDAD NACIONAL INTERCULTURAL DE LA SELVA CENTRAL JUAN SANTOS ATAHUALPA","CARRERA PROFESIONAL",10
"UNIVERSIDAD NACIONAL INTERCULTURAL DE QUILLABAMBA","CARRERA PROFESIONAL",4
"UNIVERSIDAD NACIONAL INTERCULTURAL FABIOLA SALAZAR LEGUIA DE BAGUA","CARRERA PROFESIONAL",3
"UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN","CARRERA PROFESIONAL",34
"UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN","SEGUNDA ESPECIALIDAD",24
"UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN","MAESTRIA",18
"UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN","DOCTORADO",5
"UNIVERSIDAD NACIONAL JOSE MARIA ARGUEDAS","CARRERA PROFESIONAL",6
"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","SEGUNDA ESPECIALIDAD",133
"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","MAESTRIA",90
"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","CARRERA PROFESIONAL",66
"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","DOCTORADO",31
"UNIVERSIDAD NACIONAL SANTIAGO ANTUNEZ DE MAYOLO","MAESTRIA",28
"UNIVERSIDAD NACIONAL SANTIAGO ANTUNEZ DE MAYOLO","CARRERA PROFESIONAL",25
"UNIVERSIDAD NACIONAL SANTIAGO ANTUNEZ DE MAYOLO","DOCTORADO",10
"UNIVERSIDAD NACIONAL TECNOLOGICA DE LIMA SUR","CARRERA PROFESIONAL",5
"UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS","CARRERA PROFESIONAL",26
"UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS","MAESTRIA",12
"UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS","DOCTORADO",1
"UNIVERSIDAD PARA EL DESARROLLO ANDINO","CARRERA PROFESIONAL",5
"UNIVERSIDAD PERUANA CAYETANO HEREDIA","SEGUNDA ESPECIALIDAD",525
"UNIVERSIDAD PERUANA CAYETANO HEREDIA","MAESTRIA",115
"UNIVERSIDAD PERUANA CAYETANO HEREDIA","CARRERA PROFESIONAL",47
"UNIVERSIDAD PERUANA CAYETANO HEREDIA","DOCTORADO",11
"UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS","CARRERA PROFESIONAL",166
"UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS","MAESTRIA",55
"UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS","SEGUNDA ESPECIALIDAD",6
"UNIVERSIDAD PERUANA UNION","CARRERA PROFESIONAL",46
"UNIVERSIDAD PERUANA UNION","SEGUNDA ESPECIALIDAD",27
"UNIVERSIDAD PERUANA UNION","MAESTRIA",13
